Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:43:05
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:25
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:35
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:45
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:47:55
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:48:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:49:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:50:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:51:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:52:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:53:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:16
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:26
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:36
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:46
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:54:56
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:06
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:17
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:27
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:37
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:47
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:55:57
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:07
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:17
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:27
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:37
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:47
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:56:57
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:07
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:17
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:27
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:37
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:47
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:57:57
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:58:07
Received data from device Esp32_Zigbee Gateway: Light Intensity: 1700, Temperature: 25, Air Humidity: 60, Soil Humidity: 65 at timestamp 2023-09-15 23:58:17
